universe,product,cftc_series,mic,spec_category,fo_long,fo_short,fo_net,futonly_long,futonly_short,futonly_net
ESA Index,S&P 500 E-mini,S&P 500 stock index - E-mini,XCME,leveraged funds (TFF) / non-commercial F&O (legacy),IMMTENCL,IMMTENCS,IMMTENCN,TFF1NLFL,TFF1NLFS,TFF1NLFN
NQA Index,Nasdaq 100 E-mini,NASDAQ 100 stock index - Mini,XCME,leveraged funds (TFF) / non-commercial F&O (legacy),IMMPNNCL,IMMPNNCS,IMMPNNCN,TFF1RLFL,TFF1RLFS,TFF1RLFN
RTYA Index,Russell 2000 E-mini,Russell 2000 index - E-mini,XCME,leveraged funds (TFF) / non-commercial F&O (legacy),CFC6TNCL,CFC6TNCS,CFC6TNCN,TFF2TLFL,TFF2TLFS,TFF2TLFN
DMA Index,Dow E-mini,Dow Jones Industrial Average - Mini,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CBTODNCL,CBTODNCS,CBTODNCN,TFF1KLFL,TFF1KLFS,TFF1KLFN
NKA Index,Nikkei 225 (CME JPY),Nikkei 225 stock index (JPY),XCME,leveraged funds (TFF) / non-commercial F&O (legacy),CNYCTNCL,CNYCTNCS,CNYCTNCN,TFF2BLFL,TFF2BLFS,TFF2BLFN
FFA Comdty,30-Day Fed Funds,30-day US federal funds,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CBTTTNCL,CBTTTNCS,CBTTTNCN,TFF2JLFL,TFF2JLFS,TFF2JLFN
USA Comdty,US Long Bond,US treasury bonds,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CBTOTNCL,CBTOTNCS,CBTOTNCN,TFF2ELFL,TFF2ELFS,TFF2ELFN
WNA Comdty,Ultra US Bond,US treasury bonds - Ultra-long,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CBTOBNCL,CBTOBNCS,CBTOBNCN,TFF2FLFL,TFF2FLFS,TFF2FLFN
UXYA Comdty,Ultra 10Y Note,10-year US treasury bonds - Ultra-long,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CFC4ZNCL,CFC4ZNCS,CFC4ZNCN,TFF2ZLFL,TFF2ZLFS,TFF2ZLFN
TYA Comdty,US 10Y Note,10-year US treasury note,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CBTPTNCL,CBTPTNCS,CBTPTNCN,TFF2HLFL,TFF2HLFS,TFF2HLFN
FVA Comdty,US 5Y Note,5-year US treasury note,XCBT,leveraged funds (TFF) / non-commercial F&O (legacy),CBTP5NCL,CBTP5NCS,CBTP5NCN,TFF2ILFL,TFF2ILFS,TFF2ILFN
