when_et,label,n_tickers,est_hits,n_new_securities
2026-08-11 11:31:29-0400,morning snapshot,89,1780,0
2026-08-13 10:44:12-0400,morning snapshot,89,1780,0
2026-08-19 09:46:43-0400,morning snapshot,89,6842,0
2026-08-20 08:08:49-0400,morning snapshot,89,6097,0
2026-08-21 07:50:04-0400,morning snapshot,89,7846,0
2026-08-24 07:38:28-0400,morning snapshot,89,7909,0
2026-08-25 07:42:05-0400,morning snapshot,89,6199,0
2026-08-26 06:53:10-0400,morning snapshot,89,6203,0
2026-08-27 06:55:42-0400,morning snapshot,89,6396,0
2026-08-28 07:42:02-0400,morning snapshot,89,6203,0
2026-08-31 08:05:56-0400,morning snapshot,89,6235,0
2026-09-01 06:52:06-0400,morning snapshot,89,6228,0
2026-09-01 07:07:35-0400,weekly-option root probe,3,6,0
2026-09-01 07:09:46-0400,weekly-option root probe,3,109,0
2026-09-01 07:44:12-0400,S&P weekly root pattern probe,1,43,0
2026-09-01 07:45:09-0400,S&P weekly root pattern probe,1,28,0
